tweets,clean_tweets,sentiment,score
Do NOT give ronaldo  Coca-Cola😅#CR7 #CristianoRonaldo #EURO2020 #CopaAmerica2021 #CocaCola https://t.co/fseopj7OR9,give ronaldo cocacolacr7 cristianoronaldo euro2020 copaamerica2021 cocacola,neutral,0.0
#CristianoRonaldo removes top sponsor #Cocacola bottle from his press conference and said ‘Drink Water’ hurting the… https://t.co/JWbsZRqU2z,cristianoronaldo moves top sponsor cocacola bottle pss confence said drink water hurting,positive,0.5
"Don't drink #Cocacola. It's harmful for your body.
@Cristiano Respect",dont drink cocacola harmful body spect,neutral,0.0
"@CocaCola 1 - 0 Ronaldo? 👀

⚽️ Ronaldo moves 2 bottles of #Coke away at a #Euro2020 press conference &amp; comments “dr… https://t.co/rSuJw17je7",1 0 ronaldo ronaldo moves 2 bottles coke away euro2020 pss confence amp comments dr,neutral,0.0
"@Cristiano has cost Coca-Cola around £2.04M after moving them in his press conference 😂

#Ronaldo #CocaCola #CR7… https://t.co/GtLVE7IRHC",cost cocacola around 204m moving pss confence ronaldo cocacola cr7,neutral,0.0
"YOUR INVESTMENT DECISION IS NOT COMPLETE UNTIL YOU INVEST IN REAL ESTATE...
    REAL ESTATE THE WISEST INVESTMENT C… https://t.co/nkhyYQbK6R",investment decision complete invest estate estate wisest investment,neutral,0.0
RT @mdmon987: Love it! #CocaCola #NotInMyFridge,rt love cocacola notinmyfridge,positive,0.5
"Watch: Cristiano Ronaldo removes Coca Cola bottles at #EURO2020 press, ask to drink water

#CristianoRonaldo… https://t.co/SPOoAlp8D8",watch cristiano ronaldo moves coca cola bottles euro2020 pss ask drink water cristianoronaldo,neutral,0.0
"RT @bancroftian: This is a public service announcement courtesy of #Ronaldo. Drink water, not #CocaCola!",rt public service announcement courtesy ronaldo drink water cocacola,neutral,0.0
"RT @Pri45_: Action                            Reaction 
#ronaldococacola #Ronaldo #CocaCola https://t.co/vUCVPXt4Cx",rt action action ronaldococacola ronaldo cocacola,positive,0.1
"RT @munna_30_: #CocaCola #christianoronaldo
Water bottle          Coca cola owner
Companies https://t.co/kn1bye5tJl",rt cocacola christianoronaldo water bottle coca cola owner companies,neutral,0.0
"RT @indiatvnews: #CocaCola loses $4 billion after #CristianoRonaldo removes soft drink bottles at presser
https://t.co/wSWtIpuLNH",rt cocacola loses 4 billion cristianoronaldo moves soft drink bottles psser,positive,0.1
RT @GhaziSyyed: #CocaCola Stock after Ronaldo removed bottle of coke from table: https://t.co/kRvgeCqCVy,rt cocacola stock ronaldo moved bottle coke table,neutral,0.0
@CocaColaMx #CocaCola=diabetes,cocacoladiabetes,neutral,0.0
"RT @sweetsourcrispy: #اخلاقیات_اورقومی_اسمبلی
Ek Do Teen (Tezaab fame) 🕺🤭😂

Please cool down Murad Saeed with #CocaCola 🍺 https://t.co/Rz1G…",rt اخلاقیات_اورقومی_اسمبلی ek teen tezaab fame please cool murad saeed cocacola,positive,0.175
RT @Helloadilshah: #CocaCola suffered a loss of $4 billion after star footballer  CristianoRonaldo ❤️ removed soft drink bottle from his pr…,rt cocacola suffed loss 4 billion star footballer cristianoronaldo moved soft drink bottle pr,positive,0.1
"If you are supporters of PALESTINE🇵🇸 first of all boycott israeli products👇

#TerroristIsrael #TerroristCampIsrael… https://t.co/eYdV4b8RpI",supporters palestine first boycott israeli products terroristisrael terroristcampisrael,positive,0.25
"RT @ca_nilisha: Elon - I can move the market with one tweet
Ronaldo- ""Hold my bottle""🤣🤣

#CocaCola 
#Ronaldo https://t.co/vkVdMlVser",rt elon move market tweet ronaldo hold bottle cocacola ronaldo,neutral,0.0
RT @tweetsbytahreem: #CocaCola shares before and after ronaldo press conference: https://t.co/Xq8vTb1xOp,rt cocacola shas befo ronaldo pss confence,neutral,0.0
"RT @deewashsubedi55: Cristiano Ronaldo gesture has caused $4billion loss for coca-cola.
Coca-cola went from being worth $242 billion to $23…",rt cristiano ronaldo gestu caused 4billion loss cocacola cocacola went worth 242 billion 23,positive,0.3
"RT @ItsBrajaDas: Respect for #Ronaldo for this gesture to show the reality.

#CocaCola
#ronaldococacola https://t.co/5FRRtsi15e",rt spect ronaldo gestu show ality cocacola ronaldococacola,neutral,0.0
"#CristianoRonaldo did what was right and took a stand against a company selling toxic products.
Kids, these soft dr… https://t.co/jdXJzy1WSK",cristianoronaldo right took stand company selling toxic products kids soft dr,positive,0.19285714285714284
"RT @Fakchod: #CocaCola loses 4B after Ronaldo press conference

Investors* https://t.co/JBYMty2fBl",rt cocacola loses 4b ronaldo pss confence investors,neutral,0.0
"Cristiano Ronaldo snub wipes billions of Coca-Cola’s market value

 #BoycottCocacola #CocaCola  #boycottcoke… https://t.co/pzPhYKz1xh",cristiano ronaldo snub wipes billions cocacolas market value boycottcocacola cocacola boycottcoke,neutral,0.0
"#CocaCola 
A Transparent choice!🤩😍🤣 https://t.co/8R6KjCciLf",cocacola transpant choice,neutral,0.0
"Do the things you love, not love the things you do..

#MotivationalQuotes #quotes #wednesdaythought #CocaCola… https://t.co/2UbNJzzyFY",things love love things motivationalquotes quotes wednesdaythought cocacola,positive,0.5
"RT @sarvmanglamcom: @INCIndia @RahulGandhi The rule of Scams and Scam 

It's as if everyone has been asleep &amp; are now crawling out of darkn…",rt rule scams scam everyone asleep amp crawling darkn,neutral,0.0
RT @sarcastic_samir: When Ronaldo see #CocaCola https://t.co/HtpEGjmMzM,rt ronaldo see cocacola,neutral,0.0
"RT @HowHumans: #CocaCola #christianoronaldo Coke Coca Cola

Elon : My one tweet can change crypto market

Ronaldo : Hold my water https://t…",rt cocacola christianoronaldo coke coca cola elon tweet change crypto market ronaldo hold water,neutral,0.0
"RT @ZeeNewsEnglish: #UEFAEuro2020: Coca Cola suffer $4 billion loss after Cristiano Ronaldo 'bottle' incident

#CocaCola #CristianoRonaldo…",rt uefaeuro2020 coca cola suffer 4 billion loss cristiano ronaldo bottle incident cocacola cristianoronaldo,neutral,0.0
RT @Vijay_Kumar1201: Cristiano Ronaldo has single handedly destroyed #CocaCola's career. https://t.co/VHMPKRYt5s,rt cristiano ronaldo single handedly destroyed cocacolas caer,negative,-0.2
Awesome by #CristianoRonaldo. #CocaCola #Pepsi and other soft drinks cause more harm than the benefits they offer.… https://t.co/yMNlPnY8RJ,awesome cristianoronaldo cocacola pepsi soft drinks cause mo harm benefits offer,positive,0.1
"RT @PCMohanMP: Carbonated drinks basically mean high caffeine, aspartame and sugar. The culture of actors and sports icons endorsing the co…",rt carbonated drinks basically mean high caffeine aspartame sugar cultu actors sports icons endorsing co,negative,-0.050833333333333335
"RT @sweetsourcrispy: 📢 | Go #CocaCola 
Save your future generation 💧 https://t.co/7xp1S3giXn",rt go cocacola save futu generation,neutral,0.0
"Now you can say #CocaCola is the secret of my energy instead of boost.
😂😂",say cocacola sect energy instead boost,neutral,0.0
"RT @memekaynat: #CocaCola 

Nobody:
Ronaldo: https://t.co/zMXvgnBuQm",rt cocacola nobody ronaldo,neutral,0.0
"RT @EAgencyofficial: Present  your projects/ideas/products at Hobnob Accra! 
 Make sales, create partnerships, request for support! 

#Hobn…",rt psent projectsideasproducts hobnob accra make sales cate partnerships quest support hobn,neutral,0.0
"RT @Hemanth1369: After #CocaCola incident, other brands be like: https://t.co/5JKvX9svov",rt cocacola incident brands like,neutral,0.0
"A good gesture from @Cristiano
I am not a big fan of him but as a human being he won my heart... 
#Ronaldo 
#CocaCola",good gestu big fan human heart ronaldo cocacola,positive,0.2333333333333333
#CocaCola suffered a loss of $4 billion after star footballer  CristianoRonaldo ❤️ removed soft drink bottle from h… https://t.co/BWS2kxiJwb,cocacola suffed loss 4 billion star footballer cristianoronaldo moved soft drink bottle,positive,0.1
RT @Muzah_i_d: Cristiano Ronaldo proved why his fitness levels are second to none as his press conference stunt wiped $4b off the value of…,rt cristiano ronaldo proved fitness levels second none pss confence stunt wiped 4b value,positive,0.2
"RT @arfeed_adkar: This what success looks like 💥
- His move to replace Coke bottles with water at the press conference, causes $4 Billion m…",rt success looks like move place coke bottles water pss confence causes 4 billion,positive,0.3
Like this #CocaCola https://t.co/dAaIixBbEw,like cocacola,neutral,0.0
"RT @Manjalll: When you want to change the world, jus reach height and make a simple move😍💪🔥🔥🔥 #CristianoRonaldo the mass man
#CocaCola http…",rt change world jus ach height make simple move cristianoronaldo mass cocacola http,neutral,0.0
"RT @ZeeNewsEnglish: 'Drink water': #CristianoRonaldo removes Coca Cola bottles during the press conference; video goes viral - WATCH

#Euro…",rt drink water cristianoronaldo moves coca cola bottles pss confence video goes viral watch euro,neutral,0.0
"RT @saandilyae: #CocaCola

Reel                       Real
Influencers.      Influencer. https://t.co/XCNFJkbWwh",rt cocacola influencers influencer,neutral,0.0
RT @brandpkofficial: Cristiano Ronaldo’s removal of two Coca-Cola bottles during a press conference at the Euros has coincided with a $4bn…,rt cristiano ronaldos moval two cocacola bottles pss confence euros coincided 4bn,neutral,0.0
"RT @dynastybybukola: Silk just sells classy in a subtle way.

This set is available at just 8k only, perfect for casual and formal outings,…",rt silk sells classy subtle way set available 8k perfect casual formal outings,positive,0.24999999999999994
"RT @Adufe_O: Nothing to see here, just the number of people trying to pick up their International passports in Ikoyi this morning. 

I wond…",rt nothing see number people trying pick international passports ikoyi morning wond,neutral,0.0
"RT @vishalMunnagal1: Just Two Moves, Cristiano Ronaldo destroyed billions off Coca Cola’s market value😂 #CocaCola #Rolando @Cristiano https…",rt two moves cristiano ronaldo destroyed billions coca colas market value cocacola rolando https,negative,-0.2
"Silk just sells classy in a subtle way.

This set is available at just 8k only, perfect for casual and formal outin… https://t.co/7sNypTJ3bc",silk sells classy subtle way set available 8k perfect casual formal outin,positive,0.24999999999999994
"This move by Christiano Ronaldo has wiped 4billion off Coca Cola's market value 

#CocaCola #CristianoRonaldo https://t.co/m9t2Uz19Ku",move christiano ronaldo wiped 4billion coca colas market value cocacola cristianoronaldo,neutral,0.0
"Do whatever is right even the odds are against you..

#CocaCola #ronaldo https://t.co/acmGIBMDEr",whatever right even odds cocacola ronaldo,positive,0.05952380952380952
"RT @_Afifa_sheikh: This move by Christiano Ronaldo has wiped 4billion off Coca Cola's market value 

#CocaCola #CristianoRonaldo https://t.…",rt move christiano ronaldo wiped 4billion coca colas market value cocacola cristianoronaldo,neutral,0.0
"#CocaCola losing $4 billion is second worst thing for the brand. First is “coca cola tuuu” song.
#ronaldococacola",cocacola losing 4 billion second worst thing brand first coca cola tuuu song ronaldococacola,negative,-0.25
"In extremely hot summer drinking freshwater is healthy than carbonated cola. 

 #CocaCola",extmely hot summer drinking fshwater healthy carbonated cola cocacola,positive,0.25
RT @bitcoin_brown: DUMP #COCACOLA! https://t.co/EmFxVZxNDN,rt dump cocacola,neutral,0.0
#CocaCola Stock after Ronaldo removed bottle of coke from table~ https://t.co/QeKy1iS0Ti,cocacola stock ronaldo moved bottle coke table,neutral,0.0
"#CocaCola  #CristianoRonaldo
Thank you Cristiano for setting an example towards better health.... 
#onlyH2O",cocacola cristianoronaldo thank cristiano setting example towards better health onlyh2o,positive,0.5
RT @Muhamma90389833: Let me know…???                                Who is your GOAT between Cristiano Ronaldo &amp; Leonel Messi…???#CocaCola…,rt let know goat cristiano ronaldo amp leonel messicocacola,neutral,0.0
"#CocaCola Elon Musk - I can move the market one Twit
Ronaldo - give me just two bottles",cocacola elon musk move market twit ronaldo give two bottles,neutral,0.0
"RT @Fatii_PTI: No one 
Literally no one 
#CocaCola to @Cristiano https://t.co/DM5DC8tf8N",rt literally cocacola,neutral,0.0
"RT @Crabcountess: The Head of marketing of Coca-Cola when #Ronaldo moved the bottles placed in front of him during the press conference 
#C…",rt head marketing cocacola ronaldo moved bottles placed front pss confence,neutral,0.0
"RT @sbaloch_007: During a press conference today #christianoronaldo sides the bottle of #CocaCola and urges fans to Drink Only Water.
And #…",rt pss confence today christianoronaldo sides bottle cocacola urges fans drink water,neutral,0.0
"RT @ruthlesstruth01: #CocaCola 
Top world player in hide and seek🤣😂 https://t.co/d23GZpYpBk",rt cocacola top world player hide seek,positive,0.5
"RT @IndianExpress: After #CristianoRonaldo snub, #CocaCola lost $4 billion

https://t.co/Y4yE1dfAT1 #ExpressBiz",rt cristianoronaldo snub cocacola lost 4 billion expssbiz,neutral,0.0
"RT @Thanos_pandith: Say no to poison , No more poison in your body !👍🏻

Huge respect to this man  ""Christopher Ronaldo ""

#CocaCola https:/…",rt say poison mo poison body huge spect christopher ronaldo cocacola https,positive,0.4000000000000001
"#RonaldoEffect' A new term in marketing, branding and financial market related to stock price crash has emerged. He… https://t.co/wM0xBIACga",ronaldoeffect new term marketing branding financial market lated stock price crash emerged,negative,-0.08181818181818182
"@MoiZMiZ Stock markets are subject to Cristiano Ronaldo's gesture behaviour in press conference..!! Risk..!! 🙄
So P… https://t.co/ajt9xV8L7U",stock markets subject cristiano ronaldos gestu behaviour pss confence risk p,negative,-0.16666666666666666
@Muhamma90389833 Stock markets are subject to Cristiano Ronaldo's gesture behaviour in press conference..!! Risk..!… https://t.co/97BfXHoKhs,stock markets subject cristiano ronaldos gestu behaviour pss confence risk,negative,-0.16666666666666666
@VideshRam @Cristiano @ImRo45 @KhanSharu @BeingSalmanKhan @iHrithik @RanbirDaily Stock markets are subject to Crist… https://t.co/oALhS1CAa2,stock markets subject crist,negative,-0.16666666666666666
RT @NahdT5: Coca cola loses $4 billion after Cristiano Ronaldo urges fans to drink water. Addressing a pre-match conference during the Euro…,rt coca cola loses 4 billion cristiano ronaldo urges fans drink water addssing pmatch confence euro,neutral,0.0
"RT @VyomPratapSing3: Everyone Was influencer Untill Real influencer Come💯🤗
#CristianoRonaldo #CocaCola https://t.co/P7mUG7r2Ve",rt everyone influencer untill influencer cristianoronaldo cocacola,neutral,0.0
"RT @isellnbuycars: Sharp !!!
2007 Toyota Camry (Toks)
Price:#3.2m
Location:Lagos
Call:07034524511
Kindly retweet 🙏🙏🙏
#Twitter #twitterban #…",rt sharp 2007 toyota camry toks price32m locationlagos call07034524511 kindly tweet twitter twitterban,negative,-0.125
"First ronaldo then pogba and Now manuel removes CoCa Cola Cans from press conference 😂 
#CocaCola #ronaldococacola #CristianoRonaldo",first ronaldo pogba manuel moves coca cola cans pss confence cocacola ronaldococacola cristianoronaldo,positive,0.25
"Cristiano Ronaldo moves coke bottles &amp; endorses water

#CristianoRonaldo #CocaCola #quote #QandA #quotes… https://t.co/U8r84bLSmN",cristiano ronaldo moves coke bottles amp endorses water cristianoronaldo cocacola quote qanda quotes,neutral,0.0
Fevicol going Amul way #CocaCola https://t.co/ABQxj13z0s,fevicol going amul way cocacola,neutral,0.0
"RT @GaganPratapMath: elon musk  - I can move the market with one tweet
Ronaldo- ""Hold my water bottle""🤣🤣

#CocaCola 
#Ronaldo",rt elon musk move market tweet ronaldo hold water bottle cocacola ronaldo,neutral,0.0
@kanaujia_abhay_ @EducatedMoron @allindiamemes @Theindianmeme @RVCJ_FB @RealshitGyan Stock markets are subject to C… https://t.co/WnejO11Ma1,stock markets subject,negative,-0.16666666666666666
@ZeeNewsEnglish @Cristiano Stock markets are subject to Cristiano Ronaldo's gesture behaviour in press conference..… https://t.co/B6sITqZGng,stock markets subject cristiano ronaldos gestu behaviour pss confence,negative,-0.16666666666666666
@sala_mighty @Cristiano @CocaCola Stock markets are subject to Cristiano Ronaldo's gesture behaviour in press confe… https://t.co/d0mYWGtUg4,stock markets subject cristiano ronaldos gestu behaviour pss confe,negative,-0.16666666666666666
@AssaultSethu_0f @actorvijay @Cristiano Stock markets are subject to Cristiano Ronaldo's gesture behaviour in press… https://t.co/qhjeG0hMTQ,stock markets subject cristiano ronaldos gestu behaviour pss,negative,-0.16666666666666666
"RT @piyushchaudhry: “People like Cristiano Ronaldo are a new form of risk to our portfolio.” 
- Warren Buffett in his next Annual Report 
#…",rt people like cristiano ronaldo new form risk portfolio warn buffett next annual port,positive,0.06818181818181818
"RT @Jitin_IAS: Some brands totally thrive on their marketing gimmicks. This incident is perfect example. 

Imagine Ramdev doing the same to…",rt brands totally thrive marketing gimmicks incident perfect example imagine ramdev,positive,0.5
"RT @upstox: Stock Markets are subject to Ronaldo's risks, place your brand carefully. 

#CocaCola #CristianoRonaldo",rt stock markets subject ronaldos risks place brand cafully cocacola cristianoronaldo,negative,-0.16666666666666666
"Stock markets are subject to Cristiano Ronaldo's gesture behaviour in press conference..!! Risk..!! 🙄
So Place your… https://t.co/wNtywmXrM1",stock markets subject cristiano ronaldos gestu behaviour pss confence risk place,negative,-0.16666666666666666
"RT @ThorTufaankadev: Elon - I can move the market with one tweet
Ronaldo- ""Hold my bottle""🤣🤣

#CocaCola 
#ronaldococacola
#Ronaldo https://…",rt elon move market tweet ronaldo hold bottle cocacola ronaldococacola ronaldo,neutral,0.0
"So why are none of the ‘influencers’ speaking on what @Cristiano did with the @CocaCola bottles?

Think.… https://t.co/v9yE2WlkVS",none influencers speaking bottles think,neutral,0.0
"RT @MultiplMovement: Now it’s your turn to make a statement. Choose better financial health. 
.
Say NO to impulsive buying.
Subtle changes…",rt turn make statement choose better financial health say impulsive buying subtle changes,positive,0.5
"RT @vijayvenkatram: #fevicol #CocaCola @Cristiano 

(Neither the bottle can be removed, not the stock will fall) https://t.co/oxZ9kJi6YK",rt fevicol cocacola neither bottle moved stock fall,neutral,0.0
"RT @MarketingMind_: Brands know how to hit on right time...

#MarketingMind #Bisleri #Fevicol #CristianoRonaldo #CocaCola https://t.co/rcYB…",rt brands know hit right time marketingmind bisleri fevicol cristianoronaldo cocacola,positive,0.2857142857142857
"RT @ad_dekho: Welcome to the War of Brands! 🔥

Which brand will win UEFA EURO 2020? 

#ronaldococacola #branding #brand #CocaCola #bisleri…",rt welcome brands brand win uefa euro 2020 ronaldococacola branding brand cocacola bisleri,positive,0.8
"RT @missionkaali: Ronaldo replacing coca cola bottles with Water bottle...... It costs $4B to Coca cola though.

Do you agree that even Ind…",rt ronaldo placing coca cola bottles water bottle costs 4b coca cola though age even,neutral,0.0
"#fevicol #CocaCola @Cristiano 

(Neither the bottle can be removed, not the stock will fall) https://t.co/oxZ9kJi6YK",fevicol cocacola neither bottle moved stock fall,neutral,0.0
"#christianoronaldo #CocaCola #ManuelLocatelli
Coca cola right now : https://t.co/NdPkLyKktc",christianoronaldo cocacola manuellocatelli coca cola right,positive,0.2857142857142857
"With one word, Coke market value fell $4B. #personalbranding #brand #agua  #brandmarketing #water #wellness… https://t.co/qNUC0ZnKRP",word coke market value fell 4b personalbranding brand agua brandmarketing water wellness,neutral,0.0
"RT @Zainab_1986974: #CocaCola 
#christianoronaldo 
 Reel                                    Real
Influencers                   Influencer h…",rt cocacola christianoronaldo influencers influencer,neutral,0.0
"Another #CocaCola story
https://t.co/rWpNBgFfaO",another cocacola story,neutral,0.0
"RT @MarieJR101: The internet always wins😂😂😂

#christianoronaldo  #EURO2020 #CocaCola https://t.co/QXiHd3Igew",rt internet always wins christianoronaldo euro2020 cocacola,positive,0.8
"RT @Swayrensage_: How do you went Me 👅👅💯

#explore #explorepage #viral #CocaCola #trending #tweeter #retweet #Rt #follow #like #LikeForLike…",rt went explo explopage viral cocacola tnding tweeter tweet rt follow like likeforlike,neutral,0.0
RT @euronews: Multiple players have recently removed bottles of #CocaCola and #Heineken from view at press conferences. #EURO2020  https://…,rt multiple players cently moved bottles cocacola heineken view pss confences euro2020,neutral,0.0
#CristianoRonaldo snubbed #CocaCola . The company’s market value fell $4 billion. - The Washington Post https://t.co/kYbz5WBSOH,cristianoronaldo snubbed cocacola companys market value fell 4 billion washington post,neutral,0.0
"RT @ZestMoney: The legend knows what's best!

#CristianoRonaldo #cocacola #ZestMoney #MakingLifeAffordable https://t.co/oAMp7MSIRO",rt legend knows whats best cristianoronaldo cocacola zestmoney makinglifeaffordable,positive,1.0
"RT @NiiKirikou: Catch us live on @adoa_tv from 8 to 9am tomorrow. It's gonna be lit
@ElormBeenie @Realkamelyeon @nuetei112 @edwardblagogee…",rt catch us live 8 9am tomorrow gon lit,positive,0.13636363636363635
"Welcome to the War of Brands! 🔥

Which brand will win UEFA EURO 2020? 

#ronaldococacola #branding #brand #CocaCola… https://t.co/5UdgF2ec9Y",welcome brands brand win uefa euro 2020 ronaldococacola branding brand cocacola,positive,0.8
"Finally someone came up with a solution for Ronaldo-Coke controversy! 
 @Cristiano  @CocaCola @CocaColaCo… https://t.co/XkZqkKjakg",finally someone came solution ronaldocoke controversy,neutral,0.0
"Now it’s your turn to make a statement. Choose better financial health. 
.
Say NO to impulsive buying.
Subtle chang… https://t.co/iafrgFjM8d",turn make statement choose better financial health say impulsive buying subtle chang,positive,0.5
Multiple players have recently removed bottles of #CocaCola and #Heineken from view at press conferences.… https://t.co/UJoUYJVAIb,multiple players cently moved bottles cocacola heineken view pss confences,neutral,0.0
RT @down2earthindia: #Ronaldo's latest action is making people rethink their love for #CocaCola https://t.co/tlpaJzcubz,rt ronaldos latest action making people think love cocacola,positive,0.3666666666666667
Ronaldo Risk- The unexpected fall in price of a security due to the occurrence of an unprecedented event influenced… https://t.co/qX5URAILjO,ronaldo risk unexpected fall price security due occurnce unpcedented event influenced,negative,-0.125
Pls DNT fine me #cocacola I promise to change 🔫 https://t.co/xteqHc3Pxk,pls dnt fine cocacola promise change,positive,0.4166666666666667
"Hearts to all climat fighters! Cute cute. Bubble butts and cats
But..

“Human does not change if you don’t have the… https://t.co/itsuSh6Pfx",hearts climat fighters cute cute bubble butts cats human change dont,positive,0.3333333333333333
"RT @CorpSecMag: Coca-Cola has appointed Monica Howard Douglas as general counsel. Douglas has been with the company for 17 years, most rece…",rt cocacola appointed monica howard douglas general counsel douglas company 17 years,neutral,0.0
Haha...good one #pidilite #CocaCola #CristianoRonaldo https://t.co/tacN7qN59X,hahagood pidilite cocacola cristianoronaldo,neutral,0.0
"RT @mr_tomarr: Pablo Escobar, after realising that Christiano Ronaldo is being praised by everyone for moving Coke in public🥤

#ronaldococa…",rt pablo escobar alising christiano ronaldo praised everyone moving coke public ronaldococa,neutral,0.0
RT @forumJuventus: Weston likes #cocacola 👀 https://t.co/xIb1AzyTKf,rt weston likes cocacola,neutral,0.0
"coca cola bottle Ronaldo #christianoronaldo #CocaCola #CristianoRonaldo
Disclaimer:This Video Is Just For Entertain… https://t.co/OqyOO5u9jd",coca cola bottle ronaldo christianoronaldo cocacola cristianoronaldo disclaimerthis video entertain,neutral,0.0
"Let's say is a pro bono 😝😂😂
@CocaCola  @CCBAinKenya @CocaColaAfrica @EURO2020 #CocaCola #christianoronaldo… https://t.co/qzGev1OgB0",lets say pro bono cocacola christianoronaldo,neutral,0.0
"I just bought a Coke worth of $1 to help Coca - Cola overcome $4B loss. Be like me

#CocaCola",bought coke worth 1 help coca cola overcome 4b loss like cocacola,positive,0.3
this thread sucks uri is not in it🙄 #Ihatejha #Notojha #FvkUjha #Stfujha #loveujha #nojams #nickiminaj #CocaCola https://t.co/VDPcvOzrgg,thad sucks uri ihatejha notojha fvkujha stfujha loveujha nojams nickiminaj cocacola,neutral,0.0
"RT @SyedAJeoffery: CocaCola CEO drink Coca Cola in the rain after seeing Ronaldo moving Coca Cola and asking water.
#CocaCola #CristianoRon…",rt cocacola ceo drink coca cola rain seeing ronaldo moving coca cola asking water cocacola cristianoron,neutral,0.0
"Coca Cola loses $4 billion after Cristiano Ronaldo removes soft drink bottles at presser.

#Ronaldo #cocacola… https://t.co/1QTrc4Jxu8",coca cola loses 4 billion cristiano ronaldo moves soft drink bottles psser ronaldo cocacola,positive,0.1
"Advertisement level of Fevicol..😂

#CocaCola #christianoronaldo
#MEMES https://t.co/LW7HtQXQxH",advertisement level fevicol cocacola christianoronaldo memes,neutral,0.0
"Brands know how to hit on right time...

#MarketingMind #Bisleri #Fevicol #CristianoRonaldo #CocaCola https://t.co/rcYBVd5nLM",brands know hit right time marketingmind bisleri fevicol cristianoronaldo cocacola,positive,0.2857142857142857
"RT @mahmood150909: Oh My God...!!!😯🤔🥰

What a legend @Cristiano is. Just put aside #CocaCola bottles and it cost $4 billions loss to the co…",rt oh god legend put aside cocacola bottles cost 4 billions loss co,neutral,0.0
RT @moneycontrolcom: UEFA has responded to @Cristiano's removal of a #CocaCola bottle by telling teams they have contractual obligations to…,rt uefa sponded moval cocacola bottle telling teams contractual obligations,neutral,0.0
RT @arunbothra: Ronaldo moves away #CocaCola and promote drinking water. Compare this with our #Bollywood stars who give sermons on persona…,rt ronaldo moves away cocacola promote drinking water compa bollywood stars give sermons persona,negative,-0.225
